Language	Political Authority
Aiwoo	1
Alune	3
AnejomAneityum	3
Anuta	2
Atoni	3
Baree	2
BerawanLongTerawan	0
Binukid	3
BontokGuinaang	1
Bunun	2
Bwaidoga	0
Canala	3
Cebuano	2
CentralAmis	2
ChekeHolo	1
ChuukeseAKATrukese	3
Dehu	3
Dobuan	0
FijianBau	3
FutunaEast	3
FutunaWest	3
Hawaiian	3
Iban	2
IfugaoAmganad	0
IsnegDibagatKabugaoIsneg	0
ItnegBinongan	2
KalingaGuinaangLubuagan_D	3
Kambera	3
Kapingamarangi	2
KayanUmaJuman	2
KeiTanimbarKei	3
Kilivila	2
Kiribati	2
Kodi	0
Kuanua	0
Kusaie	3
Kwaio	0
KwaraaeSolomonIslands	0
Lakalai	2
LamboyaLaboya	0
Lau	2
Lenakel	3
Levei	2
Luangiua	3
MaloSantaCruz	1
Manam	2
Mangareva	3
Maori	3
MarovoNewGeorgia	2
Marquesan	2
Marshallese	3
Mekeo	2
MerinaMalagasy	3
Mota	2
Motu	1
Mussau	2
Nahavaq	0
Nengone	3
Nggela	2
Nguna	3
Nias	3
Nukuoro	2
Ogan	3
Paiwan	2
Palauan	3
Penrhyn	3
Ponapean	3
Rarotongan	3
RejangRejang	3
Rennellese	0
RotiTermanu_D	3
Rotuman	3
Roviana	3
Saa	2
SambalBotolan	3
Samoan	3
Sika	2
Simbo	3
Siraya	2
SquliqAtayal	3
TaeSToraja	3
TahitianModern	3
Tikopia	3
Toambaita	0
TobaBatak	3
Tokelau	3
Tongan	3
Tontemboan	3
Tsou	3
UveaEast	3
VaeakauTaumako	0
Varisi	0
Waropen	1
Wogeo	2
Woleaian	3
Yamdena	2
Yami	1
