Language	Religious Authority
Aiwoo	1
Alune	3
AnejomAneityum	3
Anuta	2
Atoni	3
Baree	2
BerawanLongTerawan	0
Binukid	2
BontokGuinaang	2
Bunun	2
Bwaidoga	0
Canala	3
Cebuano	2
CentralAmis	2
ChekeHolo	1
ChuukeseAKATrukese	3
Dehu	3
Dobuan	0
FijianBau	3
FutunaEast	3
FutunaWest	3
Hawaiian	3
Iban	2
IfugaoAmganad	3
IsnegDibagatKabugaoIsneg	0
ItnegBinongan	2
KalingaGuinaangLubuagan_D	2
Kambera	3
Kapingamarangi	2
KayanUmaJuman	2
KeiTanimbarKei	2
Kilivila	2
Kiribati	2
Kodi	3
Kuanua	1
Kusaie	3
Kwaio	3
KwaraaeSolomonIslands	3
Lakalai	2
LamboyaLaboya	3
Lau	3
Lenakel	3
Levei	2
Luangiua	3
MaloSantaCruz	0
Manam	2
Mangareva	3
Maori	3
MarovoNewGeorgia	2
Marquesan	3
Marshallese	0
Mekeo	2
MerinaMalagasy	3
Mota	0
Motu	1
Mussau	0
Nahavaq	3
Nengone	3
Nggela	2
Nguna	3
Nias	3
Nukuoro	2
Ogan	3
Paiwan	2
Palauan	3
Penrhyn	2
Ponapean	3
Rarotongan	3
RejangRejang	3
Rennellese	2
RotiTermanu_D	3
Rotuman	3
Roviana	3
Saa	2
SambalBotolan	0
Samoan	3
Sika	3
Simbo	3
Siraya	2
SquliqAtayal	3
TaeSToraja	3
TahitianModern	3
Tikopia	3
Toambaita	1
TobaBatak	3
Tokelau	3
Tongan	3
Tontemboan	3
Tsou	3
UveaEast	3
VaeakauTaumako	0
Varisi	2
Waropen	0
Wogeo	2
Woleaian	3
Yamdena	2
Yami	2
